,Learning rates,Number of leaf nodes,Number of trees,MSE
156,0.01,38.0,85.0,69057.64105178487
157,0.01,38.0,90.0,72602.65701942243
158,0.01,38.0,96.0,72033.80709597372
159,0.01,38.0,101.0,71358.55715660962
160,0.01,44.0,1.0,87913.90623621068
161,0.01,44.0,6.0,84215.95798030552
162,0.01,44.0,12.0,61302.41374480845
163,0.01,44.0,17.0,68656.02208466492
164,0.01,44.0,22.0,68954.93683098692
165,0.01,44.0,27.0,69761.68015441707
166,0.01,44.0,33.0,67115.13648207737
167,0.01,44.0,38.0,64347.449725737366
168,0.01,44.0,43.0,68936.33600936829
169,0.01,44.0,48.0,71741.43372262728
170,0.01,44.0,54.0,62580.60249863644
171,0.01,44.0,59.0,66532.14203485471
172,0.01,44.0,64.0,67862.01363400221
173,0.01,44.0,69.0,66894.27042137571
174,0.01,44.0,75.0,62134.192279208895
175,0.01,44.0,80.0,64936.41167998097
176,0.01,44.0,85.0,64444.32315220933
177,0.01,44.0,90.0,63644.42760007931
178,0.01,44.0,96.0,63907.68150984018
179,0.01,44.0,101.0,66339.5969218045
180,0.01,49.0,1.0,104880.01573146424
181,0.01,49.0,6.0,77924.66335179181
182,0.01,49.0,12.0,71937.67314041161
183,0.01,49.0,17.0,69763.3411700372
184,0.01,49.0,22.0,63572.69947442071
185,0.01,49.0,27.0,66010.08868254584
186,0.01,49.0,33.0,67288.88801042175
187,0.01,49.0,38.0,62560.20279053305
188,0.01,49.0,43.0,63783.57057510801
189,0.01,49.0,48.0,67934.34251656929
190,0.01,49.0,54.0,60698.8669857468
191,0.01,49.0,59.0,67288.99646846247
192,0.01,49.0,64.0,61667.93355513142
193,0.01,49.0,69.0,61131.77894998427
194,0.01,49.0,75.0,59069.78853759357
195,0.01,49.0,80.0,63174.16675718435
196,0.01,49.0,85.0,60338.98918760179
197,0.01,49.0,90.0,58612.02539132315
198,0.01,49.0,96.0,62410.54425848295
199,0.01,49.0,101.0,56735.41969595557
200,0.01,54.0,1.0,103758.9657468363
201,0.01,54.0,6.0,76178.81552964578
202,0.01,54.0,12.0,70085.94672426458
203,0.01,54.0,17.0,62496.22161317113
204,0.01,54.0,22.0,55980.09026253262
205,0.01,54.0,27.0,58803.31857404365
206,0.01,54.0,33.0,63383.38863558831
207,0.01,54.0,38.0,58307.877059611325
208,0.01,54.0,43.0,59218.06041385333
209,0.01,54.0,48.0,54863.6000418779
210,0.01,54.0,54.0,57378.42325878545
211,0.01,54.0,59.0,57560.006353191406
212,0.01,54.0,64.0,59792.54204859286
213,0.01,54.0,69.0,58522.71310148513
214,0.01,54.0,75.0,52560.05003721129
215,0.01,54.0,80.0,58855.6066864384
216,0.01,54.0,85.0,57292.643477530524
217,0.01,54.0,90.0,57882.028217248255
218,0.01,54.0,96.0,56891.20471877587
219,0.01,54.0,101.0,55286.303983702484
220,0.01,59.0,1.0,123787.76612471008
221,0.01,59.0,6.0,89967.08102531718
222,0.01,59.0,12.0,63854.46816807738
223,0.01,59.0,17.0,61629.678604507724
224,0.01,59.0,22.0,56267.03119802782
225,0.01,59.0,27.0,58173.028455351465
226,0.01,59.0,33.0,58149.179248885426
227,0.01,59.0,38.0,53044.37410285834
228,0.01,59.0,43.0,58973.879421015015
229,0.01,59.0,48.0,58392.79336299449
230,0.01,59.0,54.0,54979.78112050822
231,0.01,59.0,59.0,55722.40720049822
232,0.01,59.0,64.0,57444.82973249065
233,0.01,59.0,69.0,56545.018864010206
234,0.01,59.0,75.0,57026.51461529972
235,0.01,59.0,80.0,57770.08860394664
236,0.01,59.0,85.0,52886.01742274878
237,0.01,59.0,90.0,54589.07563436497
238,0.01,59.0,96.0,53242.48210432366
239,0.01,59.0,101.0,53388.91437582904
240,0.01,65.0,1.0,94292.98765067989
241,0.01,65.0,6.0,65061.87150425158
242,0.01,65.0,12.0,48185.53764441797
243,0.01,65.0,17.0,59121.680354656484
244,0.01,65.0,22.0,56482.945971198606
245,0.01,65.0,27.0,55830.45617596114
246,0.01,65.0,33.0,54757.4682977818
247,0.01,65.0,38.0,57740.73121456103
248,0.01,65.0,43.0,55523.57494393666
249,0.01,65.0,48.0,57660.75444838452
250,0.01,65.0,54.0,55502.01231709326
251,0.01,65.0,59.0,55415.80472383846
252,0.01,65.0,64.0,53928.08163132787
253,0.01,65.0,69.0,46004.237295156854
254,0.01,65.0,75.0,50981.77087475058
255,0.01,65.0,80.0,49054.159471020306
256,0.01,65.0,85.0,53902.057209573824
257,0.01,65.0,90.0,51075.49685889834
258,0.01,65.0,96.0,53225.34541148852
259,0.01,65.0,101.0,53112.80744264653
260,0.01,70.0,1.0,338194.35679108696
261,0.01,70.0,6.0,45641.76736203572
262,0.01,70.0,12.0,48892.198835297524
263,0.01,70.0,17.0,54891.81471763885
264,0.01,70.0,22.0,58058.119862860636
265,0.01,70.0,27.0,52830.803617161655
266,0.01,70.0,33.0,52207.7110845936
