,Learning rates,Number of leaf nodes,Number of trees,MSE
189,0.01,49.0,48.0,926634.207509578
190,0.01,49.0,54.0,854478.8372895765
191,0.01,49.0,59.0,798940.44330418
192,0.01,49.0,64.0,748793.5801705642
193,0.01,49.0,69.0,701683.5617752912
194,0.01,49.0,75.0,650773.456368586
195,0.01,49.0,80.0,614452.0340184303
196,0.01,49.0,85.0,578998.3391660779
197,0.01,49.0,90.0,548170.594010616
198,0.01,49.0,96.0,513034.0588210481
199,0.01,49.0,101.0,488274.13223148213
200,0.01,54.0,1.0,1802026.9073922234
201,0.01,54.0,6.0,1674714.7484374957
202,0.01,54.0,12.0,1538257.0017102733
203,0.01,54.0,17.0,1431641.295552629
204,0.01,54.0,22.0,1332855.9327441212
205,0.01,54.0,27.0,1243787.595757362
206,0.01,54.0,33.0,1139831.724582092
207,0.01,54.0,38.0,1061397.1945360503
208,0.01,54.0,43.0,988781.2156858995
209,0.01,54.0,48.0,926634.2075095782
210,0.01,54.0,54.0,854478.8372895765
211,0.01,54.0,59.0,798940.4433041802
212,0.01,54.0,64.0,748793.5801705642
213,0.01,54.0,69.0,701683.561775291
214,0.01,54.0,75.0,650773.4563685858
215,0.01,54.0,80.0,614452.0340184303
216,0.01,54.0,85.0,578998.339166078
217,0.01,54.0,90.0,548170.5940106161
218,0.01,54.0,96.0,513034.05882104795
219,0.01,54.0,101.0,488274.13223148236
220,0.01,59.0,1.0,1802026.9073922234
221,0.01,59.0,6.0,1674714.7484374957
222,0.01,59.0,12.0,1538257.0017102733
223,0.01,59.0,17.0,1431641.295552629
224,0.01,59.0,22.0,1332855.9327441212
225,0.01,59.0,27.0,1243787.595757362
226,0.01,59.0,33.0,1139831.724582092
227,0.01,59.0,38.0,1061397.1945360503
228,0.01,59.0,43.0,988781.2156858997
229,0.01,59.0,48.0,926634.2075095782
230,0.01,59.0,54.0,854478.8372895765
231,0.01,59.0,59.0,798940.4433041802
232,0.01,59.0,64.0,748793.5801705645
233,0.01,59.0,69.0,701683.5617752911
234,0.01,59.0,75.0,650773.456368586
235,0.01,59.0,80.0,614452.0340184304
236,0.01,59.0,85.0,578998.339166078
237,0.01,59.0,90.0,548170.594010616
238,0.01,59.0,96.0,513034.05882104795
239,0.01,59.0,101.0,488274.13223148236
240,0.01,65.0,1.0,1802026.9073922234
241,0.01,65.0,6.0,1674714.7484374957
242,0.01,65.0,12.0,1538257.0017102733
243,0.01,65.0,17.0,1431641.295552629
244,0.01,65.0,22.0,1332855.9327441212
245,0.01,65.0,27.0,1243787.595757362
246,0.01,65.0,33.0,1139831.7245820917
